,PC1_Loading,PC2_Loading,PC1_Abs_Loading,Direction,PC2_Abs_Loading,PC2_Direction
Age_18_64_%,0.5003457146255097,0.17465119248866445,0.5003457146255097,Positive,0.17465119248866445,Positive
Economically_Active_%,0.5181204896233366,0.10459067417652487,0.5181204896233366,Positive,0.10459067417652487,Positive
Income_per_Head,0.46158228311576466,-0.25208707282380793,0.46158228311576466,Positive,0.25208707282380793,Negative
Work_From_Home_%,0.4992742006266255,0.20369451675799832,0.4992742006266255,Positive,0.20369451675799832,Positive
Disabled_%,-0.1373768269783659,0.9238605973822224,0.1373768269783659,Negative,0.9238605973822224,Positive
